canonical_product_id,product,size,category,price_basis,stores_available,local_image,source_image_url,pcc_price,pcc_original_price,pcc_sale,pcc_source,pcc_catalog_url,metro_price,metro_original_price,metro_sale,metro_source,metro_catalog_url,safeway_price,safeway_original_price,safeway_sale,safeway_source,safeway_catalog_url,qfc_price,qfc_original_price,qfc_sale,qfc_source,qfc_catalog_url,wholefoods_price,wholefoods_original_price,wholefoods_sale,wholefoods_source,wholefoods_catalog_url
16808324,Sea Cuisine Teriyaki Sesame Salmon,9 oz,Meat & Seafood,per item,2,/images/16808324.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_62c726b5-a839-4ff9-a66c-b35f1b70428b.png",,,,,,,,,,,11.99,,false,safeway.com,https://www.safeway.com/shop/product-details.960272936.html,12.99,,false,qfc.com,https://www.qfc.com/p/sea-cuisine-teriyaki-sesame-salmon/0003549301467?fulfillment=PICKUP,,,,,
27710022,Seattle International Brioche Hamburger Buns,8 ct,Bakery & Bread,per item,2,/images/27710022.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_ebbeee67-25d3-4e99-98ee-a8bcb3033a1f.png",,,,,,6.89,,false,instacart,https://www.instacart.com/products/27710022-seattle-international-brioche-buns-8-ct?retailerSlug=metropolitan-market,,,,,,3.99,6.49,true,qfc.com,https://www.qfc.com/p/seattle-international-brioche-buns/0007222010197?fulfillment=PICKUP,,,,,
18183239,Seattle International Sour Bread,20 oz,Bakery & Bread,per item,2,/images/18183239.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c23e5086-ca55-4273-9302-26851b9582fe.png",,,,,,6.19,,false,instacart,https://www.instacart.com/products/18183239-seattle-international-classic-sourdough-bread-20-oz?retailerSlug=metropolitan-market,,,,,,3.99,5.49,true,qfc.com,https://www.qfc.com/p/seattle-international-sour-bread/0007222010149?fulfillment=PICKUP,,,,,
46914456,Seattle Sourdough Baking Company Brioche Hoagie Rolls,6 ct,Bakery & Bread,per item,2,/images/46914456.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_25520825-00cc-4b01-90a9-df3edf138f03.png",,,,,,6.29,,false,instacart,https://www.instacart.com/products/46914456-seattle-sourdough-baking-company-si-brioche-hoagie-1-each?retailerSlug=metropolitan-market,,,,,,4.49,6.29,true,qfc.com,https://www.qfc.com/p/seattle-sourdough-baking-hoagie-rolls-6-ea/0007222010156?fulfillment=PICKUP,,,,,
18197585,Seattle Sourdough Baking Company Classic French Bread,20 oz,Bakery & Bread,per item,2,/images/18197585.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_70a41c49-8833-448d-8883-cb3e09cbd8a9.png",,,,,,6.19,,false,instacart,https://www.instacart.com/products/18197585-seattle-international-baking-company-classic-sliced-french-bread-20-oz?retailerSlug=metropolitan-market,4.99,5.49,true,safeway.com,https://www.safeway.com/shop/product-details.196010803.html,,,,,,,,,,
18386022,Seattle Sourdough Baking Company Cracked Wheat Sourdough,24 oz,Bakery & Bread,per item,2,/images/18386022.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d9659e7a-7ce4-4e08-8925-54621ca0819f.png",,,,,,7.39,,false,instacart,https://www.instacart.com/products/18386022-seattle-international-sliced-sour-cream-wheat-round-24-oz?retailerSlug=metropolitan-market,,,,,,6.49,7.29,true,qfc.com,https://www.qfc.com/p/seattle-sourdough-baking-company-cracked-wheat-sourdough-bread/0007222010152?fulfillment=PICKUP,,,,,
20515081,Seattle Sourdough Baking Company Sandwich Round Sourdough Bread,24 oz,Bakery & Bread,per item,2,/images/20515081.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_27d78113-f068-4f63-abe6-bb53b17d417b.png",,,,,,7.89,,false,instacart,https://www.instacart.com/products/20515081-seattle-sourdough-seattle-sour-sandwich-round-sourdough-bread-24-oz?retailerSlug=metropolitan-market,6.29,7.79,true,safeway.com,https://www.safeway.com/shop/product-details.960543427.html,,,,,,,,,,
35180419,Seattle Sourdough Baking Company SSBC Waterfront Sourdough Rolls,8 ct,Bakery & Bread,per item,2,/images/35180419.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_d9e9d6eb-4272-4268-ada9-56194bbf9961.png",6.99,,false,instacart,https://www.instacart.com/products/35180419-seattle-sourdough-baking-company-waterfront-sourdough-roll-1-ct?retailerSlug=pcc-community-markets,7.89,,false,instacart,https://www.instacart.com/products/35180419-seattle-sourdough-baking-company-waterfront-sourdough-roll-1-ct?retailerSlug=metropolitan-market,,,,,,,,,,,,,,,
60882748,Seattle Sourdough Baking Company Three Cheese Sourdough,24 oz,Dairy & Eggs,per item,2,/images/60882748.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_79460ccb-c99b-4d4b-9878-be59cdf16436.png",5.99,,false,instacart,https://www.instacart.com/products/60882748-ssbc-round-cheese-sourdough-24-oz?retailerSlug=pcc-community-markets,7.89,,false,instacart,https://www.instacart.com/products/60882748-ssbc-round-cheese-sourdough-24-oz?retailerSlug=metropolitan-market,,,,,,,,,,,,,,,
243503,"Secret Aardvark Aardvark Habanero, Hot Sauce",8 fl oz,Condiments & Oils,per item,2,/images/243503.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e7bce691-3d52-4cda-aea1-13f7b781ff5e.png",10.99,,false,instacart,https://www.instacart.com/products/243503-secret-aardvark-habanero-hot-sauce-aardvark-10-5-oz?retailerSlug=pcc-community-markets,10.99,,false,instacart,https://www.instacart.com/products/243503-secret-aardvark-habanero-hot-sauce-aardvark-10-5-oz?retailerSlug=metropolitan-market,,,,,,,,,,,,,,,
19278556,Seggiano Organic Pasta Sauce,24 oz,Dairy & Eggs,per item,2,/images/19278556.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_b13e06cc-6268-4c42-aa6a-dba9b4733af8.png",9.99,,false,instacart,https://www.instacart.com/products/19278556-seggiano-basilico-tomato-basil-organic-pasta-sauce-each?retailerSlug=pcc-community-markets,,,,,,,,,,,,,,,,10.99,,false,amazon_whole_foods,https://www.amazon.com/dp/B07GKR31H5
2198032,"Sesmark Rice Thins, Sesame",4.25 oz,Pantry & Grains,per item,2,/images/2198032.webp,"https://www.instacart.com/image-server/591x591/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_10202b55-2c7f-4bf3-b6e9-fcee758d5910.png",3.99,,false,instacart,https://www.instacart.com/products/2198032-sesmark-rice-thins-sesame-3-5-oz?retailerSlug=pcc-community-markets,4.69,,false,instacart,https://www.instacart.com/products/2198032-sesmark-rice-thins-sesame-3-5-oz?retailerSlug=metropolitan-market,,,,,,,,,,,,,,,
23052623,"Seven Sundays Grain Free Sunflower Cereal, Real Berry",8 oz,Breakfast & Cereal,per item,2,/images/23052623.webp,"https://www.instacart.com/image-server/771x771/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_676e12ac-f796-49f2-af2e-67009101a512.png",7.99,,false,instacart,https://www.instacart.com/products/23052623-seven-sundays-cereal-grain-free-real-berry-8-oz?retailerSlug=pcc-community-markets,8.99,,false,instacart,https://www.instacart.com/products/23052623-seven-sundays-cereal-grain-free-real-berry-8-oz?retailerSlug=metropolitan-market,,,,,,,,,,,,,,,
23053940,"Seven Sundays Grain Free Sunflower Cereal, Real Cocoa",8 oz,Breakfast & Cereal,per item,4,/images/23053940.webp,"https://www.instacart.com/image-server/771x771/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5253499a-469c-49e7-8687-7adffad395c6.png",7.99,,false,instacart,https://www.instacart.com/products/23053940-seven-sundays-real-cocoa-grain-free-cereal-8-oz?retailerSlug=pcc-community-markets,8.99,,false,instacart,https://www.instacart.com/products/23053940-seven-sundays-real-cocoa-grain-free-cereal-8-oz?retailerSlug=metropolitan-market,9.49,,false,safeway.com,https://www.safeway.com/shop/product-details.970119393.html,8.79,,false,qfc.com,https://www.qfc.com/p/seven-sundays-real-cocoa-sunflower-cereal/0085608800375?fulfillment=PICKUP,,,,,
