instacart_product_id,product,size,category,price_basis,stores_available,local_image,source_image_url,pcc_price,pcc_original_price,pcc_sale,pcc_instacart_url,metro_price,metro_original_price,metro_sale,metro_instacart_url,safeway_price,safeway_original_price,safeway_sale,safeway_instacart_url,qfc_price,qfc_original_price,qfc_sale,qfc_instacart_url
18547288,"Juggernaut Cabernet Sauvignon, California",750 ml,Dairy & Eggs,per item,2,/images/18547288.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_eeab3a3e-0320-445a-a506-c5951404a5f7.png",,,,,,,,,22.99,27.99,true,https://www.instacart.com/products/18547288-juggernaut-cabernet-sauvignon-750-ml?retailerSlug=safeway,25.99,,false,https://www.instacart.com/products/18547288-juggernaut-cabernet-sauvignon-750-ml?retailerSlug=qfc
77080180,Juggernaut Red Wine,750 ml,Dairy & Eggs,per item,2,/images/77080180.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_e5940741-26c3-4520-a6a8-7616324215ba.png",,,,,,,,,22.99,26.99,true,https://www.instacart.com/products/77080180-juggernaut-red-blend?retailerSlug=safeway,25.99,,false,https://www.instacart.com/products/77080180-juggernaut-red-blend?retailerSlug=qfc
41676179,"Juggernaut Sauvignon Blanc, Marlborough, New Zealand",750 ml,Dairy & Eggs,per item,2,/images/41676179.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_c3cbd0e0-2e8d-48a1-a55d-12527606dc84.png",,,,,,,,,18.99,21.99,true,https://www.instacart.com/products/41676179-juggernaut-sauvignon-blanc-marlborough-new-zealand-750-ml?retailerSlug=safeway,22.99,,false,https://www.instacart.com/products/41676179-juggernaut-sauvignon-blanc-marlborough-new-zealand-750-ml?retailerSlug=qfc
21124655,"Just Egg Folded, plant-based egg",,Plant-Based,per item,3,/images/21124655.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_5d1f3b88-a260-4c8c-9dd5-c7dd9f131c4f.jpg",,,,,8.89,,false,https://www.instacart.com/products/21124655-just-egg-plant-eggs-folded-4-ea?retailerSlug=metropolitan-market,9.99,,false,https://www.instacart.com/products/21124655-just-egg-plant-eggs-folded-4-ea?retailerSlug=safeway,7.99,,false,https://www.instacart.com/products/21124655-just-egg-plant-eggs-folded-4-ea?retailerSlug=qfc
2900185,JUSTIN ISOSCELES Red Blend Wine,750 ml,Dairy & Eggs,per item,2,/images/2900185.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_4891aa4e-04c5-4c6b-9f3c-2a8adf27fce1.jpeg",,,,,101.99,113.99,true,https://www.instacart.com/products/2900185-justin-s-isosceles-red-blend-wine-750-ml?retailerSlug=metropolitan-market,113.99,127.99,true,https://www.instacart.com/products/2900185-justin-s-isosceles-red-blend-wine-750-ml?retailerSlug=safeway,,,,
2570499,"Justin's 1.4 oz Milk Chocolate Peanut Butter Cup, 1.4 OZ",2 ct,Dairy & Eggs,per item,2,/images/2570499.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_847301f3-e4f8-42a8-a564-d1f0989575d6.jpg",2.99,,false,https://www.instacart.com/products/2570499-justin-s-peanut-butter-cups-organic-milk-chocolate-1-4-oz?retailerSlug=pcc-community-markets,3.19,,false,https://www.instacart.com/products/2570499-justin-s-peanut-butter-cups-organic-milk-chocolate-1-4-oz?retailerSlug=metropolitan-market,,,,,,,,
134541,Justin's Almond Butter Maple,16 oz,Dairy & Eggs,per item,2,/images/134541.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_01978373-b09e-40ff-9b05-41d3df3307a9.jpg",,,,,14.99,,false,https://www.instacart.com/products/134541-justin-s-almond-butter-maple-16-oz?retailerSlug=metropolitan-market,,,,,15.39,,false,https://www.instacart.com/products/134541-justin-s-almond-butter-maple-16-oz?retailerSlug=qfc
16294121,Justin's Almond Butter Maple,1.15 oz,Dairy & Eggs,per item,2,/images/16294121.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_54ef62c1-b35a-48df-ae88-6fe3ac01b7b5.jpeg",,,,,1.59,,false,https://www.instacart.com/products/16294121-justin-s-almond-butter-maple-1-15-oz?retailerSlug=metropolitan-market,1.99,,false,https://www.instacart.com/products/16294121-justin-s-almond-butter-maple-1-15-oz?retailerSlug=safeway,,,,
16720596,Justin's Cabernet Sauvignon California Red Wine,750 ml,Dairy & Eggs,per item,3,/images/16720596.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_f6681127-9b8b-488f-b316-62f0be97cf9f.jpg",,,,,40.99,44.99,true,https://www.instacart.com/products/16720596-justin-s-cabernet-sauvignon-red-wine-750-ml?retailerSlug=metropolitan-market,39.99,46.99,true,https://www.instacart.com/products/16720596-justin-s-cabernet-sauvignon-red-wine-750-ml?retailerSlug=safeway,40.99,,false,https://www.instacart.com/products/16720596-justin-s-cabernet-sauvignon-red-wine-750-ml?retailerSlug=qfc
23064,"Justin's Chocolate Hazelnut Almond Butter, 16 OZ",16 oz,Dairy & Eggs,per item,3,/images/23064.webp,"https://www.instacart.com/image-server/1028x1028/filters:fill(FFFFFF,true):format(webp):quality(70)/d2lnr5mha7bycj.cloudfront.net/product-image/file/large_829f3bb1-f0e5-4223-a385-088895f325f5.jpg",13.99,,false,https://www.instacart.com/products/23064-justin-s-chocolate-hazelnut-almond-butter-16-oz?retailerSlug=pcc-community-markets,14.99,,false,https://www.instacart.com/products/23064-justin-s-chocolate-hazelnut-almond-butter-16-oz?retailerSlug=metropolitan-market,,,,,14.99,,false,https://www.instacart.com/products/23064-justin-s-chocolate-hazelnut-almond-butter-16-oz?retailerSlug=qfc
